기준일자,제주 확진자,제주 사망자,제주 검사진행자수,자가격리중,자가격리 해제,완치 (격리해제),자가격리(확진자 접촉),자가격리 (해외입국),데이터기준일자
2020-10-01,59,0,28,0,0,58,8,230,2020-12-14
2020-10-02,59,0,35,0,0,58,7,230,2020-12-14
2020-10-03,59,0,51,0,0,59,5,230,2020-12-14
2020-10-04,59,0,34,0,0,59,6,230,2020-12-14
2020-10-05,59,0,36,0,0,59,6,218,2020-12-14
2020-10-06,59,0,77,0,0,59,6,209,2020-12-14
2020-10-07,59,0,64,0,0,59,6,209,2020-12-14
2020-10-08,59,0,66,0,0,59,7,214,2020-12-14
2020-10-09,59,0,53,0,0,59,4,206,2020-12-14
2020-10-10,59,0,17,0,0,59,3,208,2020-12-14
2020-10-11,59,0,27,0,0,59,2,227,2020-12-14
2020-10-12,59,0,14,0,0,59,2,212,2020-12-14
2020-10-13,59,0,19,0,0,59,1,212,2020-12-14
2020-10-14,59,0,61,0,0,59,1,216,2020-12-14
2020-10-15,59,0,44,0,0,59,6,221,2020-12-14
2020-10-16,59,0,48,0,0,59,9,218,2020-12-14
2020-10-17,59,0,35,0,0,59,9,199,2020-12-14
2020-10-18,59,0,23,0,0,59,10,199,2020-12-14
2020-10-19,59,0,14,0,0,59,11,208,2020-12-14
2020-10-20,59,0,64,0,0,59,9,208,2020-12-14
2020-10-21,59,0,49,0,0,59,10,183,2020-12-14
2020-10-22,59,0,45,0,0,59,10,187,2020-12-14
2020-10-23,59,0,49,0,0,59,10,183,2020-12-14
2020-10-24,59,0,28,0,0,59,9,183,2020-12-14
2020-10-25,59,0,37,0,0,59,11,198,2020-12-14
2020-10-26,59,0,17,0,0,59,21,183,2020-12-14
2020-10-27,59,0,68,0,0,59,24,180,2020-12-14
2020-10-28,59,0,37,0,0,59,29,175,2020-12-14
2020-10-29,59,0,60,0,0,59,45,186,2020-12-14
2020-10-30,59,0,57,0,0,59,44,186,2020-12-14
2020-10-31,59,0,57,0,0,59,44,186,2020-12-14
2020-11-01,59,0,26,0,0,59,47,186,2020-12-14
2020-11-02,59,0,21,0,0,59,47,209,2020-12-14
2020-11-03,60,0,62,0,0,59,39,211,2020-12-14
2020-11-04,60,0,51,0,0,59,37,216,2020-12-14
2020-11-05,60,0,42,0,0,59,19,233,2020-12-14
2020-11-06,60,0,42,0,0,59,19,233,2020-12-14
2020-11-07,60,0,48,0,0,59,20,220,2020-12-14
2020-11-08,60,0,25,0,0,59,32,220,2020-12-14
2020-11-09,60,0,29,0,0,59,31,234,2020-12-14
2020-11-10,60,0,114,0,0,59,30,239,2020-12-14
2020-11-11,60,0,425,0,0,59,30,238,2020-12-14
2020-11-12,62,0,506,0,0,59,59,232,2020-12-14
2020-11-13,62,0,579,0,0,59,72,232,2020-12-14
2020-11-14,62,0,479,0,0,59,69,232,2020-12-14
2020-11-15,62,0,45,0,0,59,74,232,2020-12-14
2020-11-16,63,0,152,0,0,59,117,225,2020-12-14
2020-11-17,63,0,498,0,0,59,119,204,2020-12-14
2020-11-18,63,0,624,0,0,59,123,199,2020-12-14
2020-11-19,64,0,578,0,0,59,135,188,2020-12-14
2020-11-19,63,0,578,0,0,59,135,188,2020-12-14
2020-11-20,65,0,531,0,0,59,166,176,2020-12-14
2020-11-21,65,0,577,0,0,59,162,176,2020-12-14
2020-11-22,65,0,156,0,0,59,298,186,2020-12-14
2020-11-23,66,0,36,0,0,59,311,186,2020-12-14
2020-11-24,67,0,390,0,0,59,291,195,2020-12-14
2020-11-25,73,0,364,0,0,60,315,186,2020-12-14
2020-11-26,73,0,220,0,0,60,353,184,2020-12-14
2020-11-27,76,0,178,0,0,60,421,184,2020-12-14
2020-11-28,79,0,279,0,0,60,425,193,2020-12-14
2020-11-29,79,0,255,0,0,60,477,193,2020-12-14
2020-11-30,81,0,92,0,0,63,530,219,2020-12-14
2020-12-01,81,0,548,0,0,63,548,221,2020-12-14
2020-12-02,85,0,254,0,0,63,511,226,2020-12-14
2020-12-03,85,0,196,0,0,63,422,239,2020-12-14
2020-12-04,86,0,151,0,0,63,386,230,2020-12-14
2020-12-05,87,0,69,0,0,64,377,230,2020-12-14
2020-12-06,87,0,86,0,0,64,354,250,2020-12-14
2020-12-07,89,0,50,0,0,64,354,254,2020-12-14
2020-12-08,89,0,169,0,0,70,302,271,2020-12-14
2020-12-09,92,0,23,0,0,71,159,271,2020-12-14
2020-12-10,106,0,12,0,0,74,237,282,2020-12-14
2020-12-11,107,0,684,0,0,75,323,282,2020-12-14
2020-12-12,107,0,217,0,0,75,486,277,2020-12-14
2020-12-13,118,0,147,0,0,75,422,277,2020-12-14
2020-12-13,110,0,147,0,0,75,422,277,2020-12-14
2020-12-14,118,0,170,0,0,75,421,282,2020-12-14
